,C,loss,max_iter,tol,score
0,0.01,hinge,100,0.001,0.9748953974895398
1,0.01,hinge,100,0.0001,0.9748953974895398
2,0.01,hinge,100,1e-05,0.9748953974895398
3,0.01,hinge,250,0.001,0.9748953974895398
4,0.01,hinge,250,0.0001,0.9748953974895398
5,0.01,hinge,250,1e-05,0.9748953974895398
6,0.01,hinge,500,0.001,0.9748953974895398
7,0.01,hinge,500,0.0001,0.9748953974895398
8,0.01,hinge,500,1e-05,0.9748953974895398
9,0.01,hinge,1000,0.001,0.9748953974895398
10,0.01,hinge,1000,0.0001,0.9748953974895398
11,0.01,hinge,1000,1e-05,0.9748953974895398
12,0.01,hinge,5000,0.001,0.9748953974895398
13,0.01,hinge,5000,0.0001,0.9748953974895398
14,0.01,hinge,5000,1e-05,0.9748953974895398
15,0.01,squared_hinge,100,0.001,0.9748953974895398
16,0.01,squared_hinge,100,0.0001,0.9748953974895398
17,0.01,squared_hinge,100,1e-05,0.9748953974895398
18,0.01,squared_hinge,250,0.001,0.9748953974895398
19,0.01,squared_hinge,250,0.0001,0.9748953974895398
20,0.01,squared_hinge,250,1e-05,0.9748953974895398
21,0.01,squared_hinge,500,0.001,0.9748953974895398
22,0.01,squared_hinge,500,0.0001,0.9748953974895398
23,0.01,squared_hinge,500,1e-05,0.9748953974895398
24,0.01,squared_hinge,1000,0.001,0.9748953974895398
25,0.01,squared_hinge,1000,0.0001,0.9748953974895398
26,0.01,squared_hinge,1000,1e-05,0.9748953974895398
27,0.01,squared_hinge,5000,0.001,0.9748953974895398
28,0.01,squared_hinge,5000,0.0001,0.9748953974895398
29,0.01,squared_hinge,5000,1e-05,0.9748953974895398
30,0.1,hinge,100,0.001,0.9748953974895398
31,0.1,hinge,100,0.0001,0.9748953974895398
32,0.1,hinge,100,1e-05,0.9748953974895398
33,0.1,hinge,250,0.001,0.9748953974895398
34,0.1,hinge,250,0.0001,0.9748953974895398
35,0.1,hinge,250,1e-05,0.9748953974895398
36,0.1,hinge,500,0.001,0.9748953974895398
37,0.1,hinge,500,0.0001,0.9748953974895398
38,0.1,hinge,500,1e-05,0.9748953974895398
39,0.1,hinge,1000,0.001,0.9748953974895398
40,0.1,hinge,1000,0.0001,0.9748953974895398
41,0.1,hinge,1000,1e-05,0.9748953974895398
42,0.1,hinge,5000,0.001,0.9748953974895398
43,0.1,hinge,5000,0.0001,0.9748953974895398
44,0.1,hinge,5000,1e-05,0.9748953974895398
45,0.1,squared_hinge,100,0.001,0.9748953974895398
46,0.1,squared_hinge,100,0.0001,0.9748953974895398
47,0.1,squared_hinge,100,1e-05,0.9748953974895398
48,0.1,squared_hinge,250,0.001,0.9748953974895398
49,0.1,squared_hinge,250,0.0001,0.9748953974895398
50,0.1,squared_hinge,250,1e-05,0.9748953974895398
51,0.1,squared_hinge,500,0.001,0.9748953974895398
52,0.1,squared_hinge,500,0.0001,0.9748953974895398
53,0.1,squared_hinge,500,1e-05,0.9748953974895398
54,0.1,squared_hinge,1000,0.001,0.9748953974895398
55,0.1,squared_hinge,1000,0.0001,0.9748953974895398
56,0.1,squared_hinge,1000,1e-05,0.9748953974895398
57,0.1,squared_hinge,5000,0.001,0.9748953974895398
58,0.1,squared_hinge,5000,0.0001,0.9748953974895398
59,0.1,squared_hinge,5000,1e-05,0.9748953974895398
60,1.0,hinge,100,0.001,0.9748953974895398
61,1.0,hinge,100,0.0001,0.9748953974895398
62,1.0,hinge,100,1e-05,0.9748953974895398
63,1.0,hinge,250,0.001,0.9748953974895398
64,1.0,hinge,250,0.0001,0.9748953974895398
65,1.0,hinge,250,1e-05,0.9748953974895398
66,1.0,hinge,500,0.001,0.9748953974895398
67,1.0,hinge,500,0.0001,0.9748953974895398
68,1.0,hinge,500,1e-05,0.9748953974895398
69,1.0,hinge,1000,0.001,0.9748953974895398
70,1.0,hinge,1000,0.0001,0.9748953974895398
71,1.0,hinge,1000,1e-05,0.9748953974895398
72,1.0,hinge,5000,0.001,0.9748953974895398
73,1.0,hinge,5000,0.0001,0.9748953974895398
74,1.0,hinge,5000,1e-05,0.9748953974895398
75,1.0,squared_hinge,100,0.001,0.9748953974895398
76,1.0,squared_hinge,100,0.0001,0.9748953974895398
77,1.0,squared_hinge,100,1e-05,0.9748953974895398
78,1.0,squared_hinge,250,0.001,0.9748953974895398
79,1.0,squared_hinge,250,0.0001,0.9748953974895398
80,1.0,squared_hinge,250,1e-05,0.9748953974895398
81,1.0,squared_hinge,500,0.001,0.9748953974895398
82,1.0,squared_hinge,500,0.0001,0.9748953974895398
83,1.0,squared_hinge,500,1e-05,0.9748953974895398
84,1.0,squared_hinge,1000,0.001,0.9748953974895398
85,1.0,squared_hinge,1000,0.0001,0.9748953974895398
86,1.0,squared_hinge,1000,1e-05,0.9748953974895398
87,1.0,squared_hinge,5000,0.001,0.9748953974895398
88,1.0,squared_hinge,5000,0.0001,0.9748953974895398
89,1.0,squared_hinge,5000,1e-05,0.9748953974895398
90,5.0,hinge,100,0.001,0.9748953974895398
91,5.0,hinge,100,0.0001,0.9748953974895398
92,5.0,hinge,100,1e-05,0.9748953974895398
93,5.0,hinge,250,0.001,0.9748953974895398
94,5.0,hinge,250,0.0001,0.9748953974895398
95,5.0,hinge,250,1e-05,0.9456066945606695
96,5.0,hinge,500,0.001,0.9748953974895398
97,5.0,hinge,500,0.0001,0.9748953974895398
98,5.0,hinge,500,1e-05,0.9748953974895398
99,5.0,hinge,1000,0.001,0.9748953974895398
100,5.0,hinge,1000,0.0001,0.9748953974895398
101,5.0,hinge,1000,1e-05,0.9748953974895398
102,5.0,hinge,5000,0.001,0.9748953974895398
103,5.0,hinge,5000,0.0001,0.9748953974895398
104,5.0,hinge,5000,1e-05,0.9748953974895398
105,5.0,squared_hinge,100,0.001,0.9748953974895398
106,5.0,squared_hinge,100,0.0001,0.9748953974895398
107,5.0,squared_hinge,100,1e-05,0.9748953974895398
108,5.0,squared_hinge,250,0.001,0.9748953974895398
109,5.0,squared_hinge,250,0.0001,0.9748953974895398
110,5.0,squared_hinge,250,1e-05,0.9665271966527197
111,5.0,squared_hinge,500,0.001,0.9748953974895398
112,5.0,squared_hinge,500,0.0001,0.9748953974895398
113,5.0,squared_hinge,500,1e-05,0.9748953974895398
114,5.0,squared_hinge,1000,0.001,0.9748953974895398
115,5.0,squared_hinge,1000,0.0001,0.9748953974895398
116,5.0,squared_hinge,1000,1e-05,0.9748953974895398
117,5.0,squared_hinge,5000,0.001,0.9748953974895398
118,5.0,squared_hinge,5000,0.0001,0.9748953974895398
119,5.0,squared_hinge,5000,1e-05,0.9748953974895398
120,10.0,hinge,100,0.001,0.9748953974895398
121,10.0,hinge,100,0.0001,0.9748953974895398
122,10.0,hinge,100,1e-05,0.9748953974895398
123,10.0,hinge,250,0.001,0.9665271966527197
124,10.0,hinge,250,0.0001,0.9581589958158996
125,10.0,hinge,250,1e-05,0.9748953974895398
126,10.0,hinge,500,0.001,0.9748953974895398
127,10.0,hinge,500,0.0001,0.9748953974895398
128,10.0,hinge,500,1e-05,0.9748953974895398
129,10.0,hinge,1000,0.001,0.9748953974895398
130,10.0,hinge,1000,0.0001,0.9748953974895398
131,10.0,hinge,1000,1e-05,0.9748953974895398
132,10.0,hinge,5000,0.001,0.9748953974895398
133,10.0,hinge,5000,0.0001,0.9748953974895398
134,10.0,hinge,5000,1e-05,0.9748953974895398
135,10.0,squared_hinge,100,0.001,0.9748953974895398
136,10.0,squared_hinge,100,0.0001,0.9748953974895398
137,10.0,squared_hinge,100,1e-05,0.9748953974895398
138,10.0,squared_hinge,250,0.001,0.9748953974895398
139,10.0,squared_hinge,250,0.0001,0.9748953974895398
140,10.0,squared_hinge,250,1e-05,0.9748953974895398
141,10.0,squared_hinge,500,0.001,0.9748953974895398
142,10.0,squared_hinge,500,0.0001,0.9748953974895398
143,10.0,squared_hinge,500,1e-05,0.9748953974895398
144,10.0,squared_hinge,1000,0.001,0.9748953974895398
145,10.0,squared_hinge,1000,0.0001,0.9748953974895398
146,10.0,squared_hinge,1000,1e-05,0.9748953974895398
147,10.0,squared_hinge,5000,0.001,0.9748953974895398
148,10.0,squared_hinge,5000,0.0001,0.9748953974895398
149,10.0,squared_hinge,5000,1e-05,0.9748953974895398
150,50.0,hinge,100,0.001,0.9748953974895398
151,50.0,hinge,100,0.0001,0.9748953974895398
152,50.0,hinge,100,1e-05,0.9748953974895398
153,50.0,hinge,250,0.001,0.9748953974895398
154,50.0,hinge,250,0.0001,0.9748953974895398
155,50.0,hinge,250,1e-05,0.9748953974895398
156,50.0,hinge,500,0.001,0.9748953974895398
157,50.0,hinge,500,0.0001,0.9748953974895398
158,50.0,hinge,500,1e-05,0.9748953974895398
159,50.0,hinge,1000,0.001,0.9707112970711297
160,50.0,hinge,1000,0.0001,0.9748953974895398
161,50.0,hinge,1000,1e-05,0.9748953974895398
162,50.0,hinge,5000,0.001,0.9748953974895398
163,50.0,hinge,5000,0.0001,0.9748953974895398
164,50.0,hinge,5000,1e-05,0.9748953974895398
165,50.0,squared_hinge,100,0.001,0.9748953974895398
166,50.0,squared_hinge,100,0.0001,0.9748953974895398
167,50.0,squared_hinge,100,1e-05,0.9748953974895398
168,50.0,squared_hinge,250,0.001,0.9539748953974896
169,50.0,squared_hinge,250,0.0001,0.9748953974895398
170,50.0,squared_hinge,250,1e-05,0.9748953974895398
171,50.0,squared_hinge,500,0.001,0.9748953974895398
172,50.0,squared_hinge,500,0.0001,0.9707112970711297
173,50.0,squared_hinge,500,1e-05,0.9748953974895398
174,50.0,squared_hinge,1000,0.001,0.9623430962343096
175,50.0,squared_hinge,1000,0.0001,0.9707112970711297
176,50.0,squared_hinge,1000,1e-05,0.9748953974895398
177,50.0,squared_hinge,5000,0.001,0.9748953974895398
178,50.0,squared_hinge,5000,0.0001,0.9748953974895398
179,50.0,squared_hinge,5000,1e-05,0.9707112970711297
180,100.0,hinge,100,0.001,0.9748953974895398
181,100.0,hinge,100,0.0001,0.9748953974895398
182,100.0,hinge,100,1e-05,0.9748953974895398
183,100.0,hinge,250,0.001,0.9748953974895398
184,100.0,hinge,250,0.0001,0.9707112970711297
185,100.0,hinge,250,1e-05,0.9748953974895398
186,100.0,hinge,500,0.001,0.9748953974895398
187,100.0,hinge,500,0.0001,0.9748953974895398
188,100.0,hinge,500,1e-05,0.9748953974895398
189,100.0,hinge,1000,0.001,0.9707112970711297
190,100.0,hinge,1000,0.0001,0.9748953974895398
191,100.0,hinge,1000,1e-05,0.9748953974895398
192,100.0,hinge,5000,0.001,0.9748953974895398
193,100.0,hinge,5000,0.0001,0.9748953974895398
194,100.0,hinge,5000,1e-05,0.9748953974895398
195,100.0,squared_hinge,100,0.001,0.9581589958158996
196,100.0,squared_hinge,100,0.0001,0.9748953974895398
197,100.0,squared_hinge,100,1e-05,0.9748953974895398
198,100.0,squared_hinge,250,0.001,0.9748953974895398
199,100.0,squared_hinge,250,0.0001,0.9748953974895398
200,100.0,squared_hinge,250,1e-05,0.9748953974895398
201,100.0,squared_hinge,500,0.001,0.9707112970711297
202,100.0,squared_hinge,500,0.0001,0.9748953974895398
203,100.0,squared_hinge,500,1e-05,0.9748953974895398
204,100.0,squared_hinge,1000,0.001,0.9748953974895398
205,100.0,squared_hinge,1000,0.0001,0.9748953974895398
206,100.0,squared_hinge,1000,1e-05,0.9748953974895398
207,100.0,squared_hinge,5000,0.001,0.9748953974895398
208,100.0,squared_hinge,5000,0.0001,0.9665271966527197
209,100.0,squared_hinge,5000,1e-05,0.9748953974895398
